Bezeichnung_(Bezirksregion),Straftaten(insgesamt),Raub(insgesamt),"Straßenraub,Handtaschen-raub",Körper-verletzungen(insgesamt),Gefährl._und_schwere_Körper-verletzung,"Freiheits-beraubung,_Nötigung,Bedrohung,_Nachstellung",Diebstahl(insgesamt),Diebstahl_von_Kraftwagen,Diebstahl_an/aus_Kfz,Fahrrad-diebstahl,Wohnraum-einbruch,Branddelikte(insgesamt),Brand-stiftung,Sach-beschädigung(insgesamt),Sach-beschädigung_durch_Graffiti,Rauschgift_Delikte,Kieztaten,Jahr
Mitte,83611,884,521,8144,2303,3546,38043,437,4811,4445,809,420,137,6172,976,3306,19212,2023
Friedrichshain-Kreuzberg,55838,923,606,5502,1839,1558,25285,394,3674,4084,495,298,85,4906,801,4455,12724,2023
Pankow,39164,529,389,3841,990,1931,18502,544,2484,3562,688,283,99,4576,942,910,10043,2023
Charlottenburg-Wilmersdorf,53631,464,278,4171,1229,2473,24774,899,5211,2862,1022,242,79,4134,750,1431,12175,2023
Spandau,25564,247,144,2857,652,1405,10292,530,4535,776,475,265,111,2379,226,645,6473,2023
Steglitz-Zehlendorf,23719,213,129,2024,423,1081,11300,676,1855,1666,961,151,52,2698,481,397,5422,2023
Tempelhof-Schöneberg,41776,328,198,3893,948,1914,19503,787,3512,2702,730,243,86,3592,622,1435,10132,2023
Neukölln,45313,508,294,4577,1388,1869,21267,653,5056,2148,722,408,145,4165,379,1869,10253,2023
Treptow-Köpenick,26099,207,118,2788,678,1380,12052,683,2298,2133,564,206,77,3152,558,680,6721,2023
Marzahn-Hellersdorf,26649,315,177,3378,650,1511,11475,793,2155,980,698,317,96,2908,392,424,8203,2023
Lichtenberg,31563,362,259,3543,803,1546,15176,772,2948,1802,606,222,79,3206,628,663,8499,2023
Reinickendorf,27344,311,173,2917,737,1536,11147,575,2467,1203,547,223,76,2481,203,553,7323,2023
Mitte,81178,823,502,7717,2346,3097,34999,413,4084,4622,578,390,112,6169,1195,3317,17852,2022
Friedrichshain-Kreuzberg,54988,935,667,4931,1739,1558,24461,299,2946,4105,327,323,94,5043,1057,4599,12827,2022
Pankow,40122,460,351,3463,999,1484,20342,560,2564,4123,629,275,89,4348,1032,750,9248,2022
Charlottenburg-Wilmersdorf,48858,416,251,3694,902,2058,21153,628,4004,2854,736,249,78,3965,823,1335,10286,2022
Spandau,26342,272,170,2882,678,1415,10550,358,2373,867,474,266,121,2445,283,559,7072,2022
Steglitz-Zehlendorf,23757,167,106,1935,349,1032,10858,499,1571,1701,662,158,60,2672,587,458,5471,2022
Tempelhof-Schöneberg,39290,332,227,3567,753,1752,18227,517,2767,2505,458,194,54,3698,743,1353,9996,2022
Neukölln,42790,493,279,4233,1212,1749,19204,503,4442,2156,515,334,128,3739,402,1986,9881,2022
Treptow-Köpenick,26843,244,156,2574,636,1254,12128,459,1908,1917,429,209,82,3195,674,629,6482,2022
Marzahn-Hellersdorf,26230,263,172,3075,652,1308,11440,438,2156,1099,423,248,71,2895,462,434,7341,2022
Lichtenberg,29805,295,214,3064,733,1219,13968,547,2298,1565,471,246,80,3154,690,556,7607,2022
Reinickendorf,27251,227,140,2751,680,1461,10088,331,1897,1066,452,204,78,2311,269,644,6625,2022
Mitte,72185,750,448,6732,2033,2578,27017,344,3636,3637,500,354,108,5968,1282,3823,15795,2021
Friedrichshain-Kreuzberg,52829,714,450,4162,1397,1403,21574,223,3443,3323,310,364,133,5205,1081,4771,10751,2021
Pankow,36980,336,220,3102,839,1323,17419,347,2227,3871,549,251,92,4351,1241,921,8353,2021
Charlottenburg-Wilmersdorf,48830,347,201,3501,865,1715,19545,548,4376,2869,676,238,100,4084,905,1407,9821,2021
Spandau,24938,204,113,2575,605,1285,9324,283,2057,708,337,211,99,2409,261,659,6177,2021
Steglitz-Zehlendorf,23901,154,79,1889,395,944,9341,352,1578,1431,562,149,59,2721,658,527,5142,2021
Tempelhof-Schöneberg,34975,270,141,2886,632,1342,14891,434,2685,2031,395,178,60,3497,782,1264,8162,2021
Neukölln,40347,395,215,3748,1163,1619,17205,418,4471,2149,487,280,118,3995,529,2146,9658,2021
Treptow-Köpenick,24418,165,95,2271,518,1102,10565,340,1518,2086,367,156,62,2913,670,643,5608,2021
Marzahn-Hellersdorf,22413,233,169,2672,570,1186,8283,344,1611,816,237,170,52,2865,470,488,6035,2021
Lichtenberg,26893,223,139,2857,655,1159,10753,415,1932,1766,262,234,91,3331,721,707,6579,2021
Reinickendorf,24248,216,113,2472,606,1204,8371,204,1629,908,293,175,64,2374,342,713,5762,2021
Mitte,79401,738,438,7319,2053,2359,32737,382,3464,3548,778,364,118,6433,1539,3657,16277,2020
Friedrichshain-Kreuzberg,57083,740,452,4787,1563,1245,24139,252,2714,3832,513,362,106,5677,1236,5995,11739,2020
Pankow,38007,305,195,3159,733,1183,18423,405,2233,3862,598,235,78,4771,1446,1093,8869,2020
Charlottenburg-Wilmersdorf,48423,394,247,3864,945,1445,22004,471,3987,3261,1069,188,88,3928,869,1482,10515,2020
Spandau,24379,231,126,2861,644,1145,9317,300,1416,885,441,191,69,2344,295,684,6634,2020
Steglitz-Zehlendorf,22879,178,116,2099,386,859,10192,313,1448,1665,872,160,61,2969,877,495,5417,2020
Tempelhof-Schöneberg,39081,278,162,3222,748,1376,17781,398,2551,2409,600,177,86,3705,915,1324,9414,2020
Neukölln,42870,451,232,4287,1258,1584,18273,380,3372,1943,731,335,145,4144,635,2756,11135,2020
Treptow-Köpenick,24747,226,133,2395,577,1016,10801,382,1462,2329,395,135,58,2862,769,797,5728,2020
Marzahn-Hellersdorf,22830,289,174,3088,585,952,8725,430,1483,928,318,217,81,2791,540,588,6089,2020
Lichtenberg,28531,247,143,2999,648,1034,12785,384,1929,1805,335,199,75,3483,730,605,7242,2020
Reinickendorf,25386,222,114,2646,648,1174,8798,279,1675,900,414,173,72,2278,378,789,5972,2020
Mitte,84357,707,407,7595,1951,2157,35601,401,3339,3817,845,291,104,6142,1601,4233,15967,2019
Friedrichshain-Kreuzberg,60290,820,579,5006,1752,1237,25655,387,4562,4094,513,282,102,5349,1454,5232,12431,2019
Pankow,36710,284,176,3174,651,1156,17202,626,1985,3976,846,201,72,4249,1224,788,8054,2019
Charlottenburg-Wilmersdorf,49791,420,212,4131,969,1484,22571,575,3352,3088,1096,225,122,3911,852,1174,10407,2019
Spandau,24751,211,97,2744,619,1057,9694,397,1349,903,395,194,97,2332,236,606,5941,2019
