Bezeichnung_(Bezirksregion),Straftaten(insgesamt),Jahr,Prozentualle_Veränderung_zum_Vorjahr
Mitte,69196,2026,3.46
Friedrichshain-Kreuzberg,50312,2026,1.99
Pankow,36324,2026,1.1
Charlottenburg-Wilmersdorf,47420,2026,1.26
Spandau,24618,2026,0.62
Steglitz-Zehlendorf,22707,2026,0.83
Tempelhof-Schöneberg,38312,2026,0.54
Neukölln,41428,2026,0.71
Treptow-Köpenick,26935,2026,1.1
Marzahn-Hellersdorf,25391,2026,0.63
Lichtenberg,31447,2026,1.53
Reinickendorf,23774,2026,2.54
Mitte,71677,2025,3.35
Friedrichshain-Kreuzberg,51331,2025,1.95
Pankow,36729,2025,01.09
Charlottenburg-Wilmersdorf,48027,2025,1.25
Spandau,24772,2025,0.62
Steglitz-Zehlendorf,22896,2025,0.81
Tempelhof-Schöneberg,38521,2025,0.54
Neukölln,41725,2025,0.71
Treptow-Köpenick,26642,2025,1.11
Marzahn-Hellersdorf,25231,2025,0.64
Lichtenberg,30974,2025,1.55
Reinickendorf,24394,2025,2.47
Mitte,74158,2024,11.31
Friedrichshain-Kreuzberg,52351,2024,6.24
Pankow,37133,2024,5.19
Charlottenburg-Wilmersdorf,48634,2024,9.32
Spandau,24926,2024,2.5
Steglitz-Zehlendorf,23084,2024,2.68
Tempelhof-Schöneberg,38729,2024,7.29
Neukölln,42022,2024,7.26
Treptow-Köpenick,26349,2024,0.96
Marzahn-Hellersdorf,25071,2024,5.92
Lichtenberg,30501,2024,3.36
Reinickendorf,25013,2024,8.52
Mitte,83611,2023,
Friedrichshain-Kreuzberg,55838,2023,
Pankow,39164,2023,
Charlottenburg-Wilmersdorf,53631,2023,
Spandau,25564,2023,
Steglitz-Zehlendorf,23719,2023,
Tempelhof-Schöneberg,41776,2023,
Neukölln,45313,2023,
Treptow-Köpenick,26099,2023,
Marzahn-Hellersdorf,26649,2023,
Lichtenberg,31563,2023,
Reinickendorf,27344,2023,
Mitte,81178,2022,
